1,"Дом, где жил военный инженер А.П. Шошин","Приморский край, г. Владивосток, ул. Морская 1-я, 1"
2,"Здание, в котором в 20-х годах жил и работал известный деятель ВКП(б) и Советского государства Я.Б. Гамарник","Приморский край, г. Владивосток, ул. Морская 1-я, 2"
3,Жилой дом,"Приморский край, ул. Матросская 1-я, 14"
4,"Дом, в котором находился конспиративный центр Владивостокской организации РСДРП в 1908 году","Приморский край, г. Владивосток, ул. Матросская 4-я, 29"
5,Доходный дом Пьянкова,"Приморский край, г. Владивосток, ул. Адмирала Фокина, 1а"
6,Дом доходный Пьянкова,"Приморский край, г. Владивосток, ул. Пограничная, 6"
7,Доходный дом Пьянкова,"Приморский край, г. Владивосток, ул. Адмирала Фокина, 3а"
8,Доходный дом Пьянкова,"Приморский край, г. Владивосток, ул. Адмирала Фокина, 5б"
9,Доходный дом Пьянкова,"Приморский край, г. Владивосток, ул. Адмирала Фокина, 5а"
10,Доходный дом Пьянкова,"Приморский край, г. Владивосток, ул. Адмирала Фокина, 5"
11,Доходный дом П.П. Поповой,"Приморский край, г. Владивосток, ул. Адмирала Фокина, 4"
12,Доходный дом П.П. Поповой,"Приморский край, г. Владивосток, ул. Адмирала Фокина,4 а"
13,"Архитектурный ансамбль застройки участка улицы Адмирала Фокина (48 строений)
 АНСАМБЛЬ","Приморский край, г. Владивосток, ул. Адмирала Фокина от Океанского пр-та до ул. Пограничная"
14,Доходный дом Г.К. Купера,"Приморский край, г. Владивосток, ул. Адмирала Фокина, 6"
15,Доходный дом Г.К. Купера,"Приморский край, г. Владивосток, ул. Адмирала Фокина, 6а"
16,Дом доходный Г.К. Купера,"Приморский край, г. Владивосток, ул. Адмирала Фокина, 
 6 в"
17,Доходный дом Г.К. Купера,"Приморский край, г. Владивосток, ул. Адмирала Фокина, 6б"
18,Доходный дом Г.К. Купера,"Адмирала Фокина ул., 8"
19,Доходный дом Г.К. Купера,"Приморский край, г. Владивосток, ул. Адмирала Фокина, 8а"
20,Доходный дом Г.К. Купера,"Приморский край, г. Владивосток, ул. Адмирала Фокина, 8 Б"
